名称,注释,processed_text,vector,vector_norm,score
先帝,指汉昭烈帝刘备。先，尊称死去的人。,['指汉昭烈帝刘备先尊称死去的人'],"[ 0.00098467 -0.00303699 -0.00351534 -0.00659697  0.00595427  0.00551592
  0.00310002  0.00660388 -0.00739741  0.0051648  -0.00533293 -0.00142095
 -0.00515326  0.00538254 -0.00749011  0.00807902 -0.00772945 -0.00349709
  0.00696589 -0.00314252 -0.00554317  0.00698121  0.00943135  0.00705233
  0.00550659 -0.00334303 -0.00108987  0.00208766 -0.00893667  0.00225156
 -0.00869615 -0.00961306 -0.00610049  0.00201256  0.00101457  0.00780667
 -0.00917474  0.00613263 -0.00377504  0.00617993  0.00131849  0.00808446
  0.00842655  0.00240922  0.00828723  0.00599941 -0.00093339  0.00923601
  0.00692288  0.0065904  -0.00611327  0.00166783 -0.0063248  -0.00232384
 -0.00688485  0.00142582  0.0037739   0.00661599 -0.00061106  0.0092243
  0.00217139 -0.00773162  0.00114654  0.00322768  0.00593207  0.00023239
  0.00796351 -0.00457015  0.00627897 -0.00572717 -0.00379308  0.00655052
 -0.00480035 -0.00599721 -0.00031999  0.00820269 -0.0042458   0.00320911
  0.00652418 -0.00694824 -0.00232064  0.00532691  0.00895326  0.00031035
 -0.00585482  0.00102176  0.00675177  0.00680373  0.00600747  0.00966542
  0.00281905 -0.00242969 -0.00452044  0.00415309 -0.00671816 -0.00795533
 -0.00394023  0.00039499  0.00704161  0.00058328]",0.057198398,9
创,开创，创立；业：统一天下的大业。,['开创创立业统一天下的大业'],"[ 5.3829267e-03  9.8106898e-03 -7.0547746e-03 -5.8250665e-04
 -5.0645340e-03  6.4350259e-03  9.6573029e-03 -3.3306240e-04
  5.1404452e-03  6.5386808e-03  4.4090427e-03 -8.0312332e-03
  3.1026434e-03 -1.4863861e-03 -2.1610796e-03  5.4020835e-03
 -1.3170600e-03  9.9274693e-03 -6.3917873e-04  2.6362896e-04
 -2.2936391e-03 -8.5134944e-03 -9.8111508e-03  4.9507655e-03
 -6.6208350e-03  2.9654969e-03  2.7743829e-03 -7.0067821e-03
 -3.1360174e-03 -5.8075618e-03 -8.5645560e-03  3.8166047e-05
  9.7870557e-03 -6.6758823e-03 -4.3618535e-03  8.3303275e-03
  9.2985127e-03  9.8154061e-03 -9.8923175e-03  5.0479542e-03
 -6.6420911e-03  6.8798447e-03  6.1408984e-03 -3.3756078e-03
  6.8841362e-03 -7.8663919e-03  4.5495653e-03  4.5803715e-03
  5.9232819e-03  5.8795023e-03 -2.6633476e-03  3.8956022e-03
 -6.1085271e-03 -6.4589716e-03  2.7430165e-03 -9.4661880e-03
 -2.9909133e-04  1.0911369e-03  8.0044614e-03 -7.0015872e-03
 -2.3229539e-03 -4.1061365e-03 -5.2279388e-03 -4.7188759e-04
  4.6112146e-03 -4.9819136e-03 -1.6456568e-03  8.6563788e-03
 -1.3084364e-03 -3.5718156e-03  7.4316356e-03  1.2192046e-03
 -3.4047366e-04  9.4597749e-03  8.1256069e-03  3.4178542e-03
  3.3582544e-03 -2.2847129e-03  8.0945203e-03  5.0608860e-03
 -5.4257442e-03 -6.1291386e-03 -5.9935212e-04 -7.9204561e-03
  3.3667099e-03 -9.2244186e-03 -1.5445673e-03  3.3561743e-03
  3.0458248e-03  3.1597614e-03 -9.0636667e-03  3.4191823e-03
  5.3463373e-03  3.4679305e-03  7.7929161e-03  1.6555488e-03
  6.2702191e-03  8.8351145e-03 -9.4265700e-04 -8.0324174e-04]",0.058008615,9
今,现在。,['现在'],"[-0.00172141  0.00640614 -0.00927654 -0.00914653 -0.00520218  0.00095224
 -0.00717562 -0.00944602 -0.00888567 -0.00046301  0.00741351 -0.00837859
 -0.00533302  0.0015175   0.00331933 -0.00845817  0.00786776 -0.00821638
  0.0047363   0.00941531  0.00566017  0.00617286  0.00823663  0.00345291
 -0.00714446  0.00574707 -0.00831294 -0.00572386  0.00590568 -0.0079294
 -0.00587038 -0.00355836  0.00339306  0.0052197   0.00205528  0.00510855
 -0.00262707  0.00435198 -0.0070484  -0.00166024 -0.0077448   0.00017381
  0.00469816  0.00480003 -0.00465527  0.00175047  0.00781123 -0.00557382
 -0.00378775 -0.00059754 -0.00471976  0.00869686  0.00754213  0.00922141
  0.00936289 -0.00845084 -0.00047974 -0.00760638 -0.00480977 -0.00883971
  0.00341577  0.00010645 -0.00691568  0.00796308  0.00095298  0.00029857
 -0.00356407 -0.00334661 -0.00264244  0.00762218  0.00239459 -0.00517093
  0.00472994  0.0009905  -0.00273315  0.00770945 -0.00394724  0.00743152
 -0.00421543 -0.00735646 -0.00449653 -0.0038985  -0.0007044  -0.00184451
  0.00511122  0.00545057 -0.00173884  0.00373369 -0.00202847  0.00073461
 -0.00136644 -0.00246282 -0.00471682 -0.00426179  0.00012702  0.00164945
 -0.00944871  0.00607636 -0.00168062 -0.00297438]",0.056103174,9
三分,天下分为孙权，曹操，刘备三大势力。,['天下分为孙权曹操刘备三大势力'],"[-4.7940742e-03 -4.3165493e-03 -4.8005986e-03 -9.8039713e-03
 -7.7741384e-04 -7.7923872e-03 -4.8120250e-03 -7.3749805e-03
  9.9356826e-03 -1.3558948e-03 -7.7542425e-03  5.5166902e-03
 -8.0663553e-03 -1.9122851e-03  2.7354658e-03 -7.0791459e-03
 -8.7335268e-03 -6.6415728e-03  7.4683428e-03  9.0576969e-03
  3.9914977e-03  2.4036837e-03  4.1378508e-03 -4.0704296e-03
  9.7580375e-03  6.8893204e-03  4.1137338e-03  8.9488886e-03
 -8.3937636e-03  9.3408703e-04  8.8922093e-03 -9.3913556e-04
 -6.7378758e-03 -2.2687817e-03 -2.7884161e-03 -2.4982262e-03
 -1.8441832e-03  7.2826683e-03 -3.0046940e-04  4.2423378e-03
 -3.7515305e-03  8.2323737e-03 -6.5021561e-03 -9.3382774e-03
 -4.1394867e-03 -7.3657990e-03 -4.8766150e-03  4.9479725e-04
  2.3848522e-03  1.7398680e-03  5.0075795e-03 -1.3956451e-03
  2.2821999e-03  3.5144330e-04  7.8454027e-03  8.0267880e-03
 -1.9734919e-03  1.2574327e-03 -6.0319114e-03 -4.7585871e-03
 -6.9708242e-03 -3.1685829e-06 -4.9146996e-03 -4.0462972e-03
  1.5047038e-03  2.6100075e-03 -9.1182115e-03  1.7474103e-03
  5.1302100e-03  4.1605639e-03 -2.9069602e-03  9.4805993e-03
  9.4492761e-03 -2.7168990e-05  8.5529685e-04 -9.2482707e-03
 -4.8049106e-03 -1.0150075e-04  4.0434911e-03  1.5845298e-04
 -8.7246373e-03  5.8148708e-03 -7.4150776e-03  8.5537788e-03
  5.5163861e-03 -6.7754458e-03  2.8424871e-03  7.7182818e-03
 -6.1090374e-03 -6.5469132e-03  9.1990363e-03  1.8047917e-03
  9.7104488e-03 -9.9066366e-03 -1.5014100e-03  6.8998290e-03
 -1.4631819e-03 -1.7565764e-03 -7.0790136e-03 -5.6657698e-03]",0.05848327,9
此,这；诚：的确，实在；之：的；秋：时，时候，这里指关键时期，一般多指不好的。,['这诚的确实在之的秋时时候这里指关键时期一般多指不好的'],"[-2.6079309e-03 -7.9186102e-03 -8.2597379e-03 -7.5856890e-03
  3.5540771e-03 -7.5884545e-03 -3.7107610e-03  6.6286800e-03
  7.3995651e-03 -6.3979235e-03  6.7983009e-03 -7.7710771e-03
  1.3180851e-04  6.6165566e-03 -2.8397667e-03  9.2202201e-03
 -3.2455564e-04  4.6845553e-03  6.9524013e-03 -8.5407533e-03
 -6.0704304e-03 -7.2954488e-03 -1.1709523e-03 -7.0895241e-03
  1.0927677e-04 -8.0436338e-03  5.1046372e-04 -3.8909435e-04
  6.4722206e-03 -8.8816453e-03 -3.1734514e-03  5.8983550e-03
  9.2343939e-03 -1.7851782e-03  7.7724812e-04 -6.0945093e-03
  8.2112191e-04 -8.1394752e-03 -7.6386104e-03  1.3829279e-03
 -8.1440208e-05  5.5616437e-03 -9.7366385e-03  1.6551495e-03
  1.5750825e-03 -5.2475943e-03  7.1128605e-05  6.0580564e-03
 -6.5998747e-03  2.8917432e-04  3.8951600e-03  1.7054570e-03
  2.8604961e-03  8.1546316e-03  6.6902316e-03  3.5060525e-03
  7.9758037e-03 -7.6668179e-03  7.5333845e-03  3.8895153e-03
 -5.9011113e-03 -4.1921209e-03  6.3938843e-03  5.8001829e-03
 -9.8604001e-03  1.2479639e-03 -4.0060640e-04  8.1368687e-04
  7.0778416e-03 -7.1729231e-03  9.6411277e-03 -9.4575584e-03
  6.2195980e-03  9.4963340e-03 -3.8256205e-03 -9.3928408e-03
  6.1840890e-03 -8.9638615e-03 -8.2952566e-03 -8.2962873e-04
 -6.6444445e-03  8.7477397e-03  7.8515671e-03  8.2879665e-04
  8.0020344e-03  9.8446989e-03  5.1898016e-03  4.3188180e-03
  5.3776647e-03  6.4133848e-03  4.7286358e-03  6.3861907e-03
 -7.4497582e-03  8.8601243e-03  8.2825068e-03  9.3785282e-03
 -9.0178195e-03 -3.4470118e-03 -3.4225226e-04  4.1669165e-03]",0.06219929,9
然,然而；侍：侍奉；卫：护卫；懈：松懈，懈怠；于：在；内：皇宫中。,['然而侍侍奉卫护卫懈松懈懈怠于在内皇宫中'],"[-0.00821697  0.00016809  0.00602542  0.00957525 -0.00284208  0.00182598
  0.00632441 -0.0019994   0.00195651 -0.00932489  0.00071045  0.00457895
  0.0044982  -0.00974666 -0.00514935  0.00297075  0.00159165 -0.00470025
  0.00581928  0.00351177 -0.00782483  0.0098364  -0.0077168  -0.00303008
  0.00974285  0.00114359 -0.00554511  0.00112662 -0.00409143 -0.00674252
 -0.00775831  0.00475816 -0.00903287  0.00406133 -0.00552586  0.00542788
 -0.00436551 -0.00558372  0.00635124 -0.00864531  0.00133298 -0.00212547
 -0.00668594 -0.00765528  0.0067571  -0.00446474  0.0045859  -0.00966061
  0.0019073  -0.00195502 -0.0058981  -0.00278645 -0.00865705 -0.00347539
 -0.00257811 -0.0022888  -0.00510663 -0.00919507  0.00534361 -0.00130049
  0.00617359  0.00307429  0.00854924 -0.00351579 -0.00889483  0.00133322
 -0.00898747  0.00604277  0.00844257  0.00050205  0.00770249  0.00853724
  0.00420071  0.00541497  0.00912859  0.00114713 -0.00825096 -0.0083258
 -0.00178279 -0.00062588  0.00882132 -0.00931078 -0.0025929   0.00911312
 -0.00144224 -0.0090769   0.00201476 -0.00583915 -0.00548248 -0.00634223
  0.00012608  0.0072251   0.00411931  0.00815343  0.00884776  0.004521
 -0.00605119  0.00706872 -0.00952732 -0.00479128]",0.060636085,9
忘身,舍身忘死，奋不顾身。,['舍身忘死奋不顾身'],"[ 8.0003524e-03  7.9075899e-03 -5.4218662e-03 -7.9771737e-03
  8.0753779e-03 -3.8121247e-03 -4.0653907e-03  7.1844123e-03
  5.4238262e-03  3.8177418e-03 -1.2296462e-03  8.6690066e-03
  8.4521566e-03  6.9737826e-03  9.0663992e-03 -5.7780421e-03
  9.9869608e-04 -1.6307533e-03  6.3399361e-03  9.7781988e-03
  5.1675295e-03  4.0597641e-03  6.5322816e-03  5.8781113e-03
  1.0234594e-04 -8.3432980e-03 -2.1702480e-03  9.0750279e-03
 -5.0799586e-03  1.0089040e-03  4.8747016e-03 -6.9280099e-03
  8.1908740e-03  1.4734459e-03  2.4277496e-03  8.3077494e-03
  1.4566254e-03  8.8965177e-04 -9.4241379e-03  9.8624257e-03
 -9.8660495e-03  8.5506346e-03  5.0526466e-03 -5.6563615e-05
 -7.8733172e-03  9.3416581e-03 -1.3780380e-03  5.3466284e-03
 -3.0297732e-03 -4.9048639e-03  1.6399265e-04 -8.0301967e-03
 -6.6411886e-03 -9.4553502e-03  5.3499164e-03  4.2900801e-04
 -9.1578602e-04  5.0992179e-03 -1.9703400e-03 -7.3847626e-03
  2.8684807e-03 -5.9616161e-03  4.8909662e-04  9.4765136e-03
 -9.5459935e-04  6.1400984e-03  4.4631539e-03 -3.5346888e-03
 -5.2263606e-03  8.8533247e-03  2.1048249e-03 -4.5241474e-04
  8.9539884e-04 -4.9213232e-03  3.5371173e-03 -3.0998336e-03
  4.2138826e-03 -4.5565809e-03 -7.9292175e-04  3.9020635e-03
 -7.1492721e-03 -2.5227594e-03 -8.7218145e-03  1.5562320e-03
  2.0106984e-03  2.4073208e-03  1.0806907e-03  9.0206864e-05
  2.2129489e-03 -9.4620348e-04  5.9216106e-03 -2.9544700e-03
 -5.0848853e-03 -5.3276801e-03 -9.6688876e-03 -8.1129204e-03
  2.1179796e-03  3.9844979e-03 -5.7757534e-03 -9.6817277e-03]",0.057161067,9
开张圣听,扩大圣明的听闻，意思是要后主广泛地听取别人的意见；开张，扩大。,['扩大圣明的听闻意思是要后主广泛地听取别人的意见开张扩大'],"[ 0.0006687   0.00648878  0.00587001 -0.00017738  0.0023801  -0.00651387
 -0.00936036 -0.00494762 -0.00538789  0.00058703 -0.00396823 -0.00036959
  0.00763455  0.00973569  0.00787588  0.00238922 -0.00271333  0.00243172
 -0.00268992 -0.00895014  0.00689304 -0.00864854  0.00378768 -0.00395623
 -0.00554306 -0.00104358 -0.00656298  0.00858411 -0.00687793 -0.00896055
  0.00576626  0.00446401  0.00473146  0.00242694 -0.00372551 -0.0051173
  0.00177215  0.00834657 -0.00565228 -0.00238244  0.00184836  0.00672219
 -0.0063974  -0.00452775 -0.00263857  0.00133483  0.00537128  0.00554937
 -0.0087095   0.00727261 -0.00250222 -0.00284264 -0.00885856 -0.00577508
  0.00944861  0.00308753 -0.00804277  0.0028074  -0.00707276 -0.00905789
  0.00386578  0.00203697  0.00125465  0.00884633  0.0062607  -0.00507063
  0.00272783  0.0025451   0.00239783  0.00833306 -0.00691342 -0.00229943
  0.00100895  0.00637776 -0.00064873  0.00792812 -0.00465192 -0.0090314
 -0.0070541  -0.00413769  0.0095833  -0.00512727 -0.00484836  0.00817348
 -0.00745618  0.00200976  0.00571604 -0.00753034 -0.00026298 -0.00236819
  0.00556562 -0.00456045 -0.00660479  0.00989174 -0.00462315  0.00760426
 -0.00845476  0.00701734 -0.00338977 -0.00781486]",0.058404338,9
恢弘,发扬扩大，用作动词。恢，大。弘，大，宽，这里是动词，也做“恢宏”；气：志气。,['发扬扩大用作动词恢大弘大宽这里是动词也做恢宏气志气'],"[ 0.00470424 -0.00906385 -0.00923721  0.00100812 -0.00858489 -0.0069379
  0.00475309  0.00800556 -0.00735918  0.0081061   0.00937937  0.0047119
 -0.00440726  0.00967025 -0.00772723 -0.00389076  0.00193399 -0.00763152
 -0.00987372  0.0028641   0.00818109 -0.0051134  -0.004291    0.00390936
  0.00069262 -0.00853497  0.00655375 -0.00315163  0.00358307  0.00315266
  0.0088779   0.00873862  0.00731144 -0.00828758  0.00120876 -0.00096417
  0.00087713  0.0089234   0.00476964 -0.00892444  0.00981182 -0.00089119
  0.0003985   0.00495616 -0.00621495 -0.00040484  0.00137576  0.00705125
  0.00428095 -0.00193905 -0.00846741 -0.00387896  0.00877906 -0.00949114
  0.00984686 -0.00015377 -0.00113041  0.00960424  0.0095726   0.00827139
  0.00899909 -0.00998464  0.0075048  -0.00936242 -0.00771259 -0.00882812
  0.00215758  0.00718219 -0.00630505 -0.0027143  -0.0023576  -0.00447777
 -0.00131201  0.00485601  0.00371265 -0.00324021 -0.00371255 -0.00234016
 -0.0032285   0.00395254  0.0097424   0.00785406 -0.00755966 -0.00644872
 -0.00913193 -0.0059301   0.0036353  -0.00601926  0.00169533  0.00888654
  0.00333596  0.00119088  0.00892278  0.00641333 -0.0014395  -0.00621112
 -0.00105654  0.0072758   0.00748053 -0.00403299]",0.06366295,9
妄自菲薄,过于看轻自己；妄：过分；菲薄：小看，轻视。,['过于看轻自己妄过分菲薄小看轻视'],"[ 9.9405618e-03  2.4018823e-03  5.1281000e-03 -5.6689656e-03
  4.3790317e-03  2.5670527e-04 -9.5895259e-03  5.0680088e-03
 -9.0093864e-03 -6.4693643e-03  2.7868378e-03  9.2828013e-03
 -2.1199167e-03  6.9789444e-03  5.0680661e-03  4.0682340e-03
 -6.1936593e-03  5.0747907e-03 -8.3078872e-03 -4.3169223e-03
  5.4474450e-03 -8.1468010e-03  5.7296469e-03 -3.4925544e-03
  2.6643276e-05 -7.3488783e-03 -6.2431572e-03 -3.3109845e-03
  8.6031733e-03  5.3467369e-03 -9.6974298e-03 -6.5730987e-03
  3.4296466e-03 -8.5171536e-03  6.6547273e-03  6.1547006e-03
 -9.3042124e-03  8.6505795e-03  7.8414176e-03 -1.7931045e-03
  1.7818403e-03 -5.6954348e-03  6.2180865e-03  7.7020060e-03
  4.0462483e-03 -8.8615045e-03  4.9456479e-03 -3.0605912e-03
 -2.2071183e-03  6.1053596e-03  1.8452990e-03  4.6271216e-03
 -6.2780618e-03  5.2385102e-03 -3.5391164e-03 -3.8360714e-04
  6.2218262e-03  4.0769968e-03  7.4718143e-03 -3.9174519e-03
  3.5482205e-03  7.3088240e-03 -3.2864297e-03  5.7587395e-03
 -9.4126891e-03  8.8425996e-03  3.7533629e-03  5.3111352e-03
  4.6484089e-03  4.5669544e-03 -3.3091903e-03 -6.2102987e-03
 -2.2825336e-03  1.3853586e-03 -2.9418350e-03 -8.4845247e-03
 -6.2889419e-03  8.3415499e-03  9.3417438e-03  5.9608663e-03
 -4.1033006e-03  6.9476845e-04 -8.5762069e-03  6.6570248e-03
  4.6781899e-04  7.3765884e-03 -5.3730775e-03 -2.8471767e-03
  2.8589701e-03  3.4598089e-03 -6.5451059e-03 -7.3662605e-03
  2.0318460e-03 -9.0106204e-03  5.7885372e-03  5.4694270e-03
 -3.8179446e-03 -5.6411112e-03 -8.3266022e-03 -1.8966305e-03]",0.059326947,9
